#{"t_start": 1718314740.177869, "env_id": "CustomHopper-source-v0"}
r,l,t
8.754294,19,0.120043
9.108021,20,0.143924
22.507487,21,0.169916
6.183442,11,0.188011
23.567292,23,0.216428
14.957994,24,0.243016
8.946548,11,0.256593
5.523505,14,0.2731
44.728084,33,0.318413
14.948879,17,0.341142
10.640997,13,0.360429
50.391978,39,0.404253
10.646214,11,0.418101
13.737226,16,0.436144
6.750034,9,0.446572
13.424979,17,0.467459
28.560695,26,0.495683
11.63061,13,0.510957
10.360392,14,0.528871
11.131749,15,0.545226
5.148371,9,0.55548
6.797587,13,0.577091
97.276351,54,0.663412
2.843307,8,0.673072
4.175039,24,0.701974
8.081955,12,0.716988
11.156286,13,0.732322
10.10979,13,0.746373
10.430463,17,0.764465
8.981239,15,0.781071
11.456691,17,0.799488
47.928631,38,0.845638
9.747097,15,0.862946
28.804565,25,0.888339
80.491822,45,0.950958
21.765967,21,0.973066
8.100617,11,0.985402
9.265598,12,0.998829
16.741389,20,1.020427
6.375889,11,1.032675
27.776397,28,1.062298
6.404228,9,1.071533
18.840516,26,1.098771
8.307158,10,1.116529
3.107751,22,1.147508
13.612132,16,1.171858
6.197981,10,1.183811
4.790074,17,1.20627
9.633465,13,1.224056
10.309066,17,1.245754
22.406085,22,1.27446
18.188308,18,1.297248
10.105685,13,1.312955
8.16697,10,1.325796
4.294251,7,1.336143
9.580783,23,1.366915
9.198199,15,1.387452
62.704224,42,1.458496
83.932839,73,1.622671
63.303201,45,1.68563
10.094842,13,1.701928
7.137952,12,1.723484
39.417802,30,1.77329
47.994044,34,1.838856
6.802307,12,1.855983
7.043246,12,1.874164
7.855088,17,1.896606
8.332725,11,1.90916
8.331262,15,1.929785
10.366849,17,1.949427
11.214721,20,1.973979
41.650838,36,2.02032
9.488041,14,2.044955
13.84167,17,2.070909
5.486513,16,2.09685
6.195582,9,2.111076
14.221977,20,2.138468
12.945052,21,2.173321
9.63676,15,2.194786
12.186811,13,2.21331
5.950078,9,2.224627
11.690287,14,2.246504
10.537648,17,2.271674
16.209231,30,2.31488
11.033208,11,2.334759
4.761351,14,2.35581
12.077216,15,2.373768
95.121489,72,2.450314
15.023039,18,2.469402
7.621502,17,2.487208
7.810179,24,2.512646
12.495776,32,2.547747
15.079725,41,2.590932
12.279087,29,2.624542
5.935362,23,2.655208
6.362084,12,2.671643
14.718677,16,2.696859
13.458853,14,2.714695
6.493752,9,2.726063
1.792,8,2.735937
7.050162,16,2.754204
6.5442,13,2.768231
13.274116,21,2.793342
7.947182,13,2.807784
128.70313,67,7.279675
17.782159,19,7.29965
12.149233,19,7.319828
46.605851,34,7.35387
14.451218,19,7.373686
14.876685,26,7.39961
14.343511,21,7.422464
100.155073,57,7.481669
22.790092,25,7.506516
12.665191,16,7.524872
3.057527,13,7.540692
22.068399,22,7.570994
44.900758,37,7.616847
26.709705,26,7.64984
8.925938,12,7.665066
59.167399,36,7.701911
7.606639,10,7.711812
15.325151,19,7.731081
9.063324,15,7.748005
8.675429,11,7.762055
14.602857,33,7.804264
12.467034,15,7.82169
121.810995,78,7.925673
9.892864,14,7.944188
13.621546,38,7.985094
30.085123,23,8.009496
6.211655,15,8.025537
15.064605,31,8.057719
9.033448,11,8.068651
24.222835,23,8.093855
7.615043,10,8.104553
9.446921,16,8.122199
11.384489,25,8.147501
182.224185,84,8.239666
5.313577,10,8.250208
9.778248,12,8.263419
93.864481,49,8.320846
9.116832,13,8.34684
110.837289,63,8.430672
61.907457,54,8.493576
6.761812,11,8.506196
28.775163,42,8.551584
109.875136,61,8.618762
8.35632,19,8.639003
25.711991,34,8.678551
43.301395,42,8.728168
39.536739,30,8.772994
14.163259,19,8.797212
12.022977,17,8.821944
9.479346,14,8.843223
10.470948,15,8.860867
17.415258,26,8.887841
100.458508,57,8.974885
185.228745,91,9.073879
15.997938,18,9.092407
22.720961,24,9.117923
73.038818,58,9.177185
15.750677,20,9.200202
75.11269,51,9.254525
80.553258,65,9.335574
209.017514,102,9.480973
8.066997,14,9.497875
7.354328,17,9.519452
20.156099,20,9.547987
64.938655,40,9.605021
16.874143,18,9.638917
6.219809,12,9.661507
68.33551,41,14.058978
21.835238,22,14.083495
12.550039,16,14.105407
84.821453,56,14.165216
9.293857,17,14.184403
90.262976,48,14.232651
65.176014,37,14.272773
55.900872,53,14.329543
31.194427,33,14.363348
30.488738,31,14.396356
17.731743,20,14.418783
15.894842,44,14.462898
12.390914,18,14.480792
59.348212,47,14.530641
46.500921,44,14.578572
11.022687,12,14.591215
62.611477,38,14.633945
135.369696,73,14.72202
45.130394,38,14.764492
61.188565,37,14.805851
19.960329,21,14.827628
