#{"t_start": 1718207680.0404563, "env_id": "CustomHopper-source-v0"}
r,l,t
104.329566,70,28.447261
226.658435,105,28.602458
36.252983,31,28.642643
19.463282,19,28.671949
165.898595,82,28.790232
130.927004,77,28.899384
74.224933,60,28.985384
81.602611,48,29.063112
213.976387,99,29.198833
128.765224,64,29.286246
31.917712,36,29.345529
90.816108,55,29.438214
40.406943,31,29.497769
45.952719,33,29.561908
29.990996,26,29.604146
40.103374,42,34.71672
9.108775,17,34.74613
65.399737,50,34.873679
96.105885,55,35.000127
145.665373,82,35.222008
58.749445,33,35.284537
21.629024,18,35.334184
194.510105,86,35.508215
53.252483,31,35.572136
142.584811,71,35.745771
105.797156,60,35.891192
105.483242,60,36.039285
285.478956,113,36.297264
123.711781,62,36.455556
113.441397,58,36.611028
219.480092,93,36.843844
130.010007,66,37.047
30.697645,23,37.095456
227.016195,109,37.353667
178.481545,80,37.478846
210.826917,90,37.640634
261.503457,113,37.802963
164.270882,79,37.912536
60.237271,35,37.969154
118.265248,64,38.062289
170.02868,82,38.176095
222.592563,94,38.317687
90.101489,50,38.454223
154.128719,71,38.594817
235.08941,114,38.872844
221.376176,109,43.688113
169.660565,80,43.800558
186.808793,84,43.91245
220.322776,94,44.050337
142.616433,73,44.157086
246.39039,130,44.328226
212.772334,93,44.451705
179.933344,85,44.564473
72.454107,40,44.617785
242.053867,109,44.766549
204.39496,92,44.889604
194.003392,84,45.006909
182.711966,95,45.196988
221.041394,97,45.323287
236.271103,111,45.477855
221.557597,103,45.620635
193.583682,100,45.756376
259.856477,128,45.93733
74.635861,44,45.996525
215.908153,100,46.133996
186.04716,85,46.254085
65.42009,37,46.303961
197.55643,86,46.417358
193.527649,89,50.952837
196.086035,86,51.069008
188.178385,89,51.191534
204.053922,88,51.318217
192.606761,84,51.435802
163.784692,78,51.672119
143.728919,70,51.774587
167.754226,90,51.910762
128.745926,67,52.041583
211.095886,102,52.204429
232.530501,107,52.360667
215.458475,96,52.494114
195.355737,87,52.615234
210.501744,107,52.756347
200.983244,88,52.881451
161.672906,82,52.996287
235.220261,112,53.156866
222.057027,97,53.287097
232.743898,100,53.429054
40.122939,27,53.507692
215.97484,99,53.66217
182.270352,83,53.772617
218.743224,98,53.911905
274.42052,111,60.257962
203.333953,94,60.402042
224.610731,97,60.539978
195.130541,86,60.661805
199.256599,89,60.788149
226.592656,101,60.928085
218.538061,105,61.078904
218.739695,105,61.22732
248.344445,119,61.395375
207.332516,90,61.518429
214.523799,91,61.643307
226.454937,101,61.786482
85.451088,47,61.849685
216.053584,98,61.978099
273.361521,116,62.139584
220.995903,106,62.284346
247.260339,117,62.442657
196.945517,94,62.571037
220.602563,94,62.698116
86.798894,50,62.766075
214.675622,103,62.906725
200.568939,89,63.033917
215.404896,99,67.786138
216.731676,97,67.917826
215.640558,100,68.056558
228.028221,97,68.188276
174.269636,103,68.334008
283.717326,116,68.494877
228.951899,104,68.634358
217.744791,110,68.785236
207.042129,93,68.914626
205.109334,89,69.052153
240.237496,105,69.196216
194.354519,85,69.311253
197.597274,86,69.436342
211.064556,98,69.569611
238.038615,102,69.71065
214.654036,94,69.83849
189.8593,88,69.965528
228.24694,101,70.115842
214.834912,98,70.275466
233.110517,110,70.461787
216.875639,98,75.527625
280.903895,114,75.756478
231.651597,106,75.963358
208.385596,104,76.137936
237.65511,111,76.3178
250.927895,106,76.494644
241.462972,107,76.66113
269.813358,112,76.8365
128.719524,66,76.938662
234.452241,101,77.104205
241.252477,109,77.263486
289.586125,115,77.439584
223.601205,100,77.597453
230.071214,99,77.746911
248.954803,109,77.917889
251.270139,116,78.100781
256.710965,115,78.278776
215.858949,99,78.454332
283.310214,117,78.736413
283.855685,116,78.962498
280.380911,117,84.306457
198.634052,88,84.447324
304.760075,121,84.634263
211.169454,98,84.773226
249.743166,107,84.941854
285.753542,113,85.166829
275.317444,114,85.33416
232.211711,103,85.49077
249.884984,108,85.663502
217.334902,100,85.815849
268.538411,108,85.978475
284.494665,109,86.149393
254.765739,114,86.329759
159.615042,77,86.453195
277.547992,117,86.662453
249.021938,106,86.831969
337.265873,124,87.022335
293.457432,117,87.191683
278.903129,115,87.345127
341.713168,127,92.411036
295.600911,115,92.571815
230.631253,95,92.702824
247.364973,104,92.851791
242.037653,101,92.991555
275.319394,110,93.139373
261.506035,112,93.29148
249.784303,107,93.427771
271.769655,109,93.578037
211.610934,94,93.708063
275.866758,115,93.869914
307.409212,119,94.031555
281.873002,117,94.191333
299.716236,121,94.362169
235.693618,101,94.499892
298.882041,121,94.663455
272.352595,115,94.832444
327.570674,136,95.024842
240.426411,111,100.527111
324.706133,126,100.725556
293.504014,122,100.904882
312.634497,129,101.135389
258.991569,118,101.309644
318.710614,129,101.748972
324.395465,124,101.991548
334.075509,127,102.257246
320.690081,121,102.455301
286.964068,117,102.622844
271.896448,110,102.775978
303.596006,122,102.958582
350.956636,130,103.166388
316.825216,128,103.414149
322.302016,121,103.585755
311.980103,125,103.768888
300.553512,117,103.998387
164.936796,79,109.309047
340.020738,143,109.609068
323.199479,128,109.904669
308.536058,123,110.106558
342.478781,138,110.390689
317.907828,126,110.627529
349.065366,138,110.851812
312.973592,122,111.055868
318.655578,119,111.285743
317.24686,123,111.472783
315.951903,133,111.694828
370.378796,132,111.936061
297.982567,122,112.152431
301.800283,128,112.350978
360.363788,132,112.583641
337.257418,143,112.875517
358.535942,134,118.370778
358.651602,130,118.593396
316.620684,131,118.795392
342.003891,128,119.00062
338.446729,134,119.218902
369.077745,135,119.424047
323.591226,123,119.596053
308.623035,118,119.767586
364.671775,136,119.961451
329.915171,129,120.141187
343.628482,126,120.310072
342.835825,134,120.492353
365.62834,136,120.679263
304.36348,118,120.844843
348.451998,134,121.04575
343.625125,137,126.109314
360.898621,142,126.30451
294.138745,117,126.473905
373.304597,136,126.66586
318.476683,131,126.848708
346.97703,132,127.035811
326.856317,135,127.231703
365.647322,136,127.414289
352.496448,134,127.595057
318.75002,136,127.771215
299.336941,119,127.939054
334.53996,132,128.120149
332.547818,127,128.281958
370.934032,140,128.502625
344.98308,140,128.710041
379.004457,139,128.916707
329.040029,127,135.201792
342.47913,125,135.438649
327.882981,118,135.818129
297.698594,125,135.998196
323.638404,125,136.186682
372.631548,136,136.42917
377.301777,135,136.63044
324.109759,124,136.814003
356.343397,127,136.996473
517.71317,180,137.258591
360.661448,135,137.45138
383.339456,139,137.646897
313.606394,118,137.81271
351.426351,133,137.994245
361.629831,131,138.171757
339.128103,132,143.505402
340.494855,132,143.728731
373.65819,137,144.15994
346.854985,126,144.432622
335.328062,130,144.765237
344.540862,125,145.079435
360.109895,141,145.400766
373.241794,136,145.729206
342.331305,125,146.030545
347.094011,124,146.335927
391.106314,142,146.630023
364.948563,134,146.91127
359.020887,134,147.20415
355.460654,135,147.476058
286.824365,117,147.716463
231.156996,96,147.942162
355.16608,131,154.839485
404.547751,144,155.089886
345.990908,126,155.302387
374.153554,129,155.483569
351.087701,132,155.671407
360.677171,133,155.855818
351.896628,131,156.041947
407.107241,145,156.249685
388.713551,138,156.506475
356.938249,135,156.689691
351.66785,135,156.877485
404.854002,142,157.076322
400.143847,142,157.27492
378.693083,136,157.513233
358.434049,131,157.703263
396.666641,142,162.919219
