#{"t_start": 1718314740.1972234, "env_id": "CustomHopper-source-v0"}
r,l,t
14.974095,21,0.1041
17.466788,21,0.12968
4.734019,30,0.170467
5.350274,11,0.184788
10.148398,16,0.203034
7.018524,10,0.213877
18.3656,21,0.239376
17.38499,18,0.26046
3.183002,8,0.272477
16.247395,21,0.300753
77.811488,44,0.358383
22.971432,26,0.387698
6.798425,13,0.403604
23.899354,26,0.433873
61.285784,42,0.480576
19.419614,25,0.512182
10.885846,14,0.52747
11.704714,21,0.558707
3.980093,7,0.571681
25.731551,26,0.618086
17.878962,20,0.64216
7.026272,13,0.659493
13.456183,14,0.675645
21.122742,33,0.716222
11.528115,15,0.73164
3.301284,13,0.745628
8.102582,15,0.762246
8.37602,17,0.780645
5.710766,8,0.788663
17.703152,21,0.813099
14.033686,21,0.84063
9.965425,16,0.857187
3.729427,29,0.891081
8.816129,14,0.911487
7.446229,12,0.928577
9.402518,12,0.94196
8.235529,10,0.952589
13.645939,16,0.971103
77.2909,46,1.021273
8.223251,12,1.033877
17.397722,26,1.061379
25.862449,34,1.106282
6.284477,9,1.119059
4.635426,20,1.147963
8.012696,11,1.162031
5.9757,17,1.183739
10.773319,13,1.202126
12.817095,17,1.2242
8.915354,11,1.237983
22.129067,20,1.264561
5.203121,10,1.276511
6.425339,9,1.28773
16.1397,17,1.309219
1.430328,14,1.328744
39.437769,34,1.375383
8.881261,11,1.389171
15.893492,23,1.43228
5.49866,13,1.457398
10.088947,21,1.49638
5.208822,12,1.537536
5.0721,10,1.573178
14.274655,18,1.600092
13.189895,21,1.629124
18.778506,21,1.660229
13.645644,15,1.678588
14.904285,18,1.711256
5.188821,8,1.725012
9.417997,12,1.742741
10.126638,17,1.773163
17.775948,16,1.802046
16.765311,18,1.834334
4.31624,14,1.855645
5.589307,11,1.870018
19.365322,17,1.890956
6.079235,12,1.905746
9.018102,11,1.919495
11.464463,18,1.941064
9.447711,17,1.96213
4.057057,7,1.971148
14.817629,17,1.992954
8.387026,14,2.012624
12.98006,25,2.055928
10.747849,17,2.083724
8.736808,13,2.101742
15.089788,17,2.126065
18.643024,23,2.163542
12.293789,13,2.182282
5.378149,17,2.204111
16.225795,22,2.237752
8.710936,21,2.267836
9.873944,15,2.291166
6.576973,13,2.312018
5.125532,9,2.327684
5.161327,11,2.342019
