#{"t_start": 1718314740.1894896, "env_id": "CustomHopper-source-v0"}
r,l,t
8.791504,11,0.099717
6.20549,13,0.114845
6.406904,17,0.13536
12.414142,15,0.153013
31.034192,34,0.200106
12.215257,17,0.218698
12.799218,15,0.237294
5.948169,8,0.246665
25.404197,33,0.287561
48.963094,41,0.344754
6.354118,16,0.364296
14.124148,21,0.388089
6.964221,10,0.400085
14.470135,16,0.419229
6.966866,10,0.430876
12.685609,14,0.447934
43.554781,40,0.492077
8.734985,16,0.512986
13.791502,22,0.537305
5.852785,10,0.550427
12.455055,18,0.584784
7.236299,11,0.606997
10.506764,23,0.636784
17.763442,20,0.663009
43.349032,39,0.711007
8.628991,16,0.728843
25.357456,21,0.750548
6.095816,12,0.764398
15.349555,18,0.783374
16.331865,19,0.806084
5.528103,17,0.82563
9.027145,12,0.842413
51.133701,34,0.877186
9.053331,12,0.88972
10.129533,12,0.909616
83.042178,48,0.967928
6.478945,16,0.985862
6.596218,13,1.000096
4.990087,9,1.010302
10.191393,22,1.03411
7.387204,11,1.045437
23.321541,21,1.06765
31.135011,30,1.106559
6.282672,16,1.129556
35.539543,28,1.168287
3.470218,7,1.17756
118.607718,76,1.277249
50.898677,38,1.327122
27.102624,24,1.358241
34.436548,25,1.391392
5.125737,12,1.406888
8.62083,10,1.429088
5.14082,11,1.453338
8.598681,12,1.474853
5.38025,10,1.494204
30.436381,29,1.584936
5.725823,9,1.598523
15.539084,19,1.62216
3.053811,9,1.634389
18.981752,20,1.663535
12.304929,25,1.698696
11.233287,14,1.725873
34.619924,35,1.785449
7.682233,10,1.803083
7.741034,10,1.823556
11.795635,15,1.847361
7.72035,24,1.880351
8.328883,15,1.898135
30.647591,25,1.929914
5.779003,8,1.939445
11.126792,16,1.958801
9.173181,11,1.972502
8.496335,14,1.990485
7.114681,15,2.01078
5.040944,9,2.025255
8.04216,14,2.04834
7.620626,10,2.065182
7.27379,13,2.085795
7.739935,12,2.104451
15.733952,18,2.128447
12.862311,14,2.150545
13.464212,15,2.176229
6.096481,10,2.18952
6.486708,15,2.20933
17.59245,16,2.232529
9.377477,13,2.252984
7.201064,10,2.267273
36.100444,47,2.340273
7.759401,19,2.363758
7.01106,17,2.382499
12.876065,27,2.409579
11.436779,16,2.427304
12.944231,17,2.445235
13.089641,20,2.46694
6.801918,9,2.475978
13.539464,15,2.491642
15.317328,17,2.50919
10.381309,20,2.530813
5.162509,8,2.541284
9.272258,32,2.573353
8.14982,10,2.585023
17.030729,18,2.605963
9.548226,15,2.623265
9.195508,12,2.640783
4.821279,8,2.653146
9.630354,22,2.685899
48.76297,32,2.725815
12.487571,15,2.743057
20.319266,27,2.773091
7.947711,15,2.791025
25.731702,24,7.217692
16.11274,25,7.244229
137.187734,71,7.319047
108.732498,57,7.375738
9.262376,12,7.388465
50.400326,55,7.446626
108.241169,56,7.504303
78.245617,55,7.575043
6.758782,33,7.613685
14.840905,25,7.648325
25.738182,37,7.686219
13.828535,23,7.709169
37.47029,35,7.749047
13.415043,21,7.775547
19.764548,18,7.798758
93.733099,50,7.867133
11.811562,16,7.890438
13.500683,16,7.908024
17.038632,19,7.930991
132.905437,74,8.010623
90.35844,54,8.06651
9.663537,13,8.080747
21.130409,20,8.102071
97.884119,62,8.169567
23.372973,21,8.191961
60.826217,44,8.240236
52.121342,40,8.281581
159.547822,87,8.404031
20.113194,22,8.434552
10.808622,12,8.449715
12.517588,18,8.470123
6.220237,19,8.491119
13.648506,20,8.512695
4.77181,9,8.52283
23.111092,21,8.545256
4.318806,11,8.557733
30.409322,27,8.587698
92.595261,51,8.64461
19.913879,18,8.664044
18.664441,21,8.686342
21.191302,20,8.711865
18.560128,26,8.74821
21.5325,22,8.781136
14.089597,21,8.810938
35.060574,26,8.845924
14.174749,35,8.882895
30.117256,27,8.930505
4.39987,12,8.948538
10.060713,19,8.973153
24.099061,24,8.998754
7.587238,19,9.018387
5.024167,9,9.027702
35.869293,43,9.073551
5.569885,11,9.085622
7.738645,10,9.096021
22.969549,27,9.123741
26.616062,24,9.147326
10.550799,14,9.162591
8.528644,13,9.178223
63.246593,36,9.21773
30.953647,45,9.263839
13.920215,17,9.283866
9.691312,14,9.302541
8.646755,13,9.321869
15.239895,23,9.363816
75.867141,42,9.417467
13.921455,31,9.461168
7.749407,11,9.474845
94.748437,49,9.539105
29.743676,25,9.575445
22.494414,21,9.605941
12.004551,14,9.635695
4.918065,11,14.00775
68.264375,43,14.053245
130.952717,68,14.130738
69.376211,43,14.178112
103.712016,65,14.245822
75.382336,43,14.29146
120.012498,61,14.355629
11.300427,15,14.370851
14.196565,15,14.387276
9.991325,16,14.404763
129.028716,64,14.469576
9.175841,14,14.483958
82.419551,46,14.534408
120.375868,68,14.608525
71.699088,41,14.652157
66.98951,58,14.724539
39.997019,32,14.760198
91.683005,52,14.81758
25.382999,28,14.84845
158.456674,77,14.930473
167.983802,89,15.033726
16.670022,18,15.054137
26.590992,24,15.079854
116.511299,61,15.146497
25.547877,21,15.173519
165.652527,82,15.267754
92.407425,51,15.329601
43.849627,36,15.371399
16.373852,18,15.391164
81.036844,48,15.441055
27.218594,23,15.467883
18.98841,19,15.489147
76.7592,44,15.53565
12.831063,13,15.549726
35.330779,62,15.618864
39.191151,40,15.662071
235.654193,117,15.782635
8.779357,12,15.795152
118.604887,80,15.885332
94.514604,51,15.937847
39.021654,33,15.971858
47.619722,35,16.009493
38.614993,22,16.033327
9.500081,17,16.052031
4.730877,30,16.085466
11.48832,12,16.098828
47.052219,72,16.175769
64.788799,40,16.216909
30.903899,27,16.244848
114.185615,64,20.04655
116.566806,62,20.118533
89.741006,49,20.170454
195.851271,107,20.281242
66.624233,45,20.330151
14.259722,14,20.344696
20.099074,18,20.365477
52.377729,40,20.410158
19.21231,18,20.429824
216.391332,127,20.563321
59.443866,35,20.602471
100.692313,53,20.661221
17.204486,17,20.67873
71.259612,40,20.72093
61.687953,44,20.766761
135.880649,81,20.853085
69.315216,39,20.894966
168.582614,100,20.997846
83.761586,53,21.058101
111.509301,61,21.126938
85.406591,51,21.184662
90.168353,51,21.238326
31.404609,50,21.292239
93.184561,50,21.346879
160.386811,85,21.448808
243.357907,139,21.595376
147.100801,86,21.689497
86.818148,47,21.738126
21.618575,18,21.757788
58.733531,39,21.799519
14.677784,19,21.82033
68.700329,41,21.868874
132.215836,72,21.945352
148.316634,93,22.04435
178.525571,80,22.133782
221.471872,108,25.999534
43.402679,35,26.034362
60.034462,35,26.070603
94.348204,51,26.121809
220.739828,109,26.240804
213.524006,99,26.340064
73.042504,45,26.38549
102.844499,58,26.43997
172.266133,88,26.526042
57.156882,35,26.560653
176.575892,86,26.6434
96.981008,57,26.698375
213.962218,93,26.791904
76.814142,41,26.835967
264.040555,135,26.969809
104.864352,68,27.037333
153.605083,73,27.117608
166.395738,82,27.200575
104.626311,57,27.25706
58.793767,33,27.296916
220.779806,105,27.404797
102.157461,59,27.466145
70.774651,40,27.505574
134.038743,66,27.577177
50.449751,29,27.611977
99.210582,53,27.669378
254.567047,122,27.794782
53.552916,31,27.826398
216.845149,97,27.924644
119.105508,64,27.991227
72.373284,41,28.035433
201.705566,92,31.820153
231.743753,106,31.931021
61.863523,36,31.967557
221.52465,100,32.075589
66.184609,39,32.117168
177.885117,79,32.196786
92.918265,48,32.248807
79.174737,50,32.304499
112.385871,62,32.366897
198.550882,89,32.461153
244.692305,120,32.601323
231.157456,104,32.706541
200.08415,94,32.804761
157.233239,81,32.889914
184.302082,88,32.974662
105.492568,55,33.028521
219.815734,97,33.125204
226.515227,102,33.232643
104.259416,55,33.291389
223.367837,94,33.406685
235.408475,123,33.534225
227.881129,108,33.653099
187.258302,90,33.752668
85.933894,62,33.832372
251.853703,123,37.709386
198.329416,107,37.816551
217.94395,103,37.935615
186.692804,87,38.032623
105.830691,57,38.090326
205.596943,94,38.190077
200.289421,90,38.2803
224.173632,104,38.384586
236.806424,112,38.500555
137.591772,73,38.575956
204.306526,100,38.678228
218.00344,93,38.776199
263.522583,105,38.880597
218.149851,96,38.974701
151.212137,72,39.048799
125.532906,67,39.113347
222.499105,100,39.218357
258.988682,127,39.349363
150.687,71,39.420138
227.798022,103,39.524344
122.699142,76,39.606314
266.789128,120,39.731787
231.391087,102,43.447803
222.741372,101,43.55024
221.478958,105,43.662066
222.550429,101,43.759939
244.863657,113,43.876645
252.774459,111,43.982896
225.401249,106,44.090503
235.559592,107,44.215865
265.515483,109,44.326444
216.052305,97,44.425078
307.436701,130,44.56011
219.370065,106,44.668486
238.416555,104,44.773431
289.098706,116,44.901227
96.980248,53,44.962684
255.571161,127,45.097842
273.509997,120,45.218855
231.619562,106,45.327015
162.549373,81,45.415993
222.190739,109,49.34293
223.348119,104,49.452494
113.674381,59,49.51117
229.758362,100,49.61305
238.634563,102,49.72584
261.705336,110,49.840893
274.683474,119,49.965177
88.819535,48,50.015629
230.158427,100,50.116199
312.774194,127,50.24751
231.90035,106,50.374495
265.585486,106,50.484222
280.082793,123,50.612135
284.946746,120,50.740312
199.390886,87,50.835147
216.259412,138,50.985401
216.025045,94,51.089639
201.899535,91,51.184467
226.426539,101,51.290624
225.969635,107,51.401604
222.964347,95,51.508472
237.075148,97,55.425658
194.541832,92,55.519267
227.490389,100,55.618018
273.839207,125,55.745655
300.0176,132,55.88373
277.743251,117,56.000443
248.696186,118,56.120614
222.225701,100,56.230903
296.676231,125,56.362393
281.742734,112,56.477929
220.361804,95,56.593574
168.464414,80,56.675921
362.891859,160,56.840596
206.735632,96,56.934915
301.323379,121,57.053497
260.048054,112,57.175466
285.762607,115,57.292355
348.462066,137,57.430053
276.131714,130,61.293594
292.050064,120,61.412289
314.80408,128,61.537552
267.529871,114,61.64908
311.964841,126,61.772695
364.289796,162,61.936313
348.111522,134,62.068996
321.10102,129,62.197213
307.544444,140,62.331828
310.431674,126,62.454824
328.928214,128,62.582126
287.112284,120,62.701234
254.231991,107,62.814027
293.186132,126,62.940833
250.108952,101,63.046862
315.644105,133,63.184065
318.352478,136,67.06431
309.255051,138,67.218971
331.14992,135,67.383102
314.325655,132,67.544437
342.012589,138,67.71164
344.128566,137,67.871855
308.089439,121,68.006478
316.607782,138,68.160712
264.078957,115,68.291216
297.995683,116,68.417163
304.365953,124,68.567117
156.436772,76,68.67629
239.915701,101,68.795764
345.862148,137,68.973576
348.325203,140,69.149722
334.718937,134,69.309629
335.082443,142,74.127295
356.726081,144,74.297174
299.408089,124,74.439174
308.090004,125,74.594415
358.453734,133,74.755266
313.054355,135,74.919753
359.293605,154,75.110889
319.297426,132,75.289201
361.302423,146,75.462519
327.991249,127,75.604508
327.287465,137,75.743689
329.318147,129,75.880493
324.130525,140,76.033345
320.087122,124,76.175952
319.80039,130,76.306925
323.382658,133,80.435878
290.227722,115,80.555288
303.277306,124,80.704141
239.481379,111,80.830066
317.611325,143,80.974773
339.175462,128,81.107456
331.120318,138,81.253698
317.929262,133,81.399362
383.502436,144,81.562047
318.085136,130,81.698907
344.283593,135,81.837624
301.290697,117,81.959934
300.583195,122,82.086248
336.997747,132,82.228445
333.884387,125,82.358696
329.924786,131,82.51471
340.186162,135,86.618344
300.820919,124,86.756112
347.4436,137,86.915116
339.242467,130,87.050001
299.713783,122,87.179358
337.756627,136,87.328877
376.439259,141,87.48346
366.22232,144,87.644712
331.496522,132,87.789703
365.740156,139,87.936419
347.376105,136,88.079149
314.451544,136,88.22086
364.676609,139,88.368806
333.141409,131,88.503597
370.919784,136,88.640456
302.970651,122,92.742111
390.65501,143,92.89828
361.904176,131,93.032635
334.286757,136,93.171232
344.704308,134,93.311049
351.853358,139,93.451826
379.72552,136,93.58865
380.277476,141,93.728191
373.820075,135,93.890845
365.702324,130,94.031326
424.300477,154,94.194859
356.463287,134,94.330761
332.012575,134,94.498815
345.721657,132,94.665222
335.026622,125,94.797201
357.230403,136,94.952609
352.474872,129,99.00905
392.251178,138,99.154548
339.070372,140,99.294739
391.719628,145,99.444915
374.478119,142,99.594607
356.475779,130,99.726781
325.255209,133,99.862821
373.786615,138,100.005028
384.663537,143,100.158081
383.688253,144,100.309156
393.450307,142,100.454281
370.805425,145,100.598944
322.557211,119,100.72121
346.356024,135,100.860019
383.817227,139,105.056675
379.958512,129,105.189233
408.169951,140,105.34717
309.143983,129,105.483532
372.472349,137,105.624223
360.041777,142,105.776511
359.331314,130,105.921599
369.280178,131,106.054482
461.360321,158,106.221761
406.264854,145,106.382153
290.371723,112,106.501375
385.94996,140,106.647774
342.01507,128,106.798545
360.079832,137,106.93565
517.541536,193,107.146127
346.844851,137,111.302818
243.710688,109,111.432582
474.022686,165,111.631089
356.390324,137,111.785905
379.442398,138,111.944869
246.174395,100,112.042
429.058625,147,112.199325
432.165657,151,112.377601
384.830549,136,112.52501
522.319594,173,112.726767
367.833595,132,112.867242
370.632349,133,113.01632
381.441462,138,113.166204
326.26583,118,113.287939
532.394254,181,113.507063
613.188671,199,118.546402
379.61432,136,118.978846
535.800603,184,119.32002
389.933089,141,119.560841
317.549607,126,119.714935
453.204542,155,119.91488
401.235272,137,120.063873
372.504727,138,120.260671
409.497639,143,120.405563
399.59067,141,120.553555
398.005419,146,120.704102
428.28328,159,120.873243
534.426235,175,121.063367
452.725536,152,124.993023
378.769904,134,125.131891
415.717811,144,125.272781
397.637648,147,125.416418
610.843637,194,125.619082
623.939913,204,125.840623
486.156569,161,126.000957
411.490171,151,126.155013
333.910585,126,126.287689
401.491541,140,126.436698
450.882453,152,126.583627
477.519796,159,126.752565
458.727508,158,126.911691
385.046343,136,127.051205
364.330086,129,130.945022
657.977792,209,131.139943
648.516149,205,131.351959
668.835311,214,131.560345
379.902241,134,131.683316
474.259103,163,131.838606
643.173574,209,132.073373
372.094911,130,132.193063
400.240298,145,132.341169
260.685472,105,132.455639
443.995954,162,132.618103
836.664675,262,136.528002
698.942187,229,136.767862
628.298039,210,136.972215
624.596733,202,137.180991
559.611821,180,137.366784
665.599874,223,137.606678
567.360796,191,137.799891
711.830746,227,138.024667
653.266464,212,138.238156
615.460212,206,138.45802
364.557349,137,138.599064
622.980883,211,142.715952
781.813569,250,142.976924
872.981297,277,143.254141
893.396249,324,143.585477
655.11844,215,143.843038
661.971731,223,144.078402
747.717406,235,144.335057
796.569647,253,144.605851
589.868366,189,148.91864
646.559507,210,149.130871
661.09797,211,149.351339
644.489088,210,149.573249
654.147346,218,149.79442
893.341751,296,150.143765
689.883013,215,150.382203
807.419874,261,150.64823
